Reads_per_phylum	Read_per_transcript	human_read	ID	seed	serie	human_read_rna	human_read_t2t	human_read_dir
100	10	FALSE	A0	0	0	TRUE	FALSE	10
100	10	FALSE	A1	1	1	TRUE	FALSE	10
100	10	FALSE	A2	2	2	TRUE	FALSE	10
100	10	FALSE	A3	3	3	TRUE	FALSE	10
100	10	FALSE	A4	4	4	TRUE	FALSE	10
100	10	FALSE	A5	5	5	TRUE	FALSE	10
100	10	FALSE	A6	6	6	TRUE	FALSE	10
100	10	FALSE	A7	7	7	TRUE	FALSE	10
100	10	FALSE	A8	8	8	TRUE	FALSE	10
100	10	FALSE	A9	9	9	TRUE	FALSE	10
1000	100	FALSE	B0	0	0	TRUE	FALSE	10
1000	100	FALSE	B1	1	1	TRUE	FALSE	10
1000	100	FALSE	B2	2	2	TRUE	FALSE	10
1000	100	FALSE	B3	3	3	TRUE	FALSE	10
1000	100	FALSE	B4	4	4	TRUE	FALSE	10
1000	100	FALSE	B5	5	5	TRUE	FALSE	10
1000	100	FALSE	B6	6	6	TRUE	FALSE	10
1000	100	FALSE	B7	7	7	TRUE	FALSE	10
1000	100	FALSE	B8	8	8	TRUE	FALSE	10
1000	100	FALSE	B9	9	9	TRUE	FALSE	10
100	10	FALSE	C0	0	0	FALSE	FALSE	10710
100	10	FALSE	C1	1	1	FALSE	FALSE	10710
100	10	FALSE	C2	2	2	FALSE	FALSE	10710
100	10	FALSE	C3	3	3	FALSE	FALSE	10710
100	10	FALSE	C4	4	4	FALSE	FALSE	10710
100	10	FALSE	C5	5	5	FALSE	FALSE	10710
100	10	FALSE	C6	6	6	FALSE	FALSE	10710
100	10	FALSE	C7	7	7	FALSE	FALSE	10710
100	10	FALSE	C8	8	8	FALSE	FALSE	10710
100	10	FALSE	C9	9	9	FALSE	FALSE	10710
1000	100	FALSE	D0	0	0	FALSE	FALSE	10710
1000	100	FALSE	D1	1	1	FALSE	FALSE	10710
1000	100	FALSE	D2	2	2	FALSE	FALSE	10710
1000	100	FALSE	D3	3	3	FALSE	FALSE	10710
1000	100	FALSE	D4	4	4	FALSE	FALSE	10710
1000	100	FALSE	D5	5	5	FALSE	FALSE	10710
1000	100	FALSE	D6	6	6	FALSE	FALSE	10710
1000	100	FALSE	D7	7	7	FALSE	FALSE	10710
1000	100	FALSE	D8	8	8	FALSE	FALSE	10710
1000	100	FALSE	D9	9	9	FALSE	FALSE	10710
