Reads_per_phylum	Read_per_transcript	human_read	ID	seed	serie	human_read_rna	human_read_t2t	human_read_dir
450	10	FALSE	M0	0	0	FALSE	FALSE	1665
450	10	FALSE	M1	1	1	FALSE	FALSE	1665
450	10	FALSE	M2	2	2	FALSE	FALSE	1665
450	10	FALSE	M3	3	3	FALSE	FALSE	1665
450	10	FALSE	M4	4	4	FALSE	FALSE	1665
450	10	FALSE	M5	5	5	FALSE	FALSE	1665
450	10	FALSE	M6	6	6	FALSE	FALSE	1665
450	10	FALSE	M7	7	7	FALSE	FALSE	1665
450	10	FALSE	M8	8	8	FALSE	FALSE	1665
450	10	FALSE	M9	9	9	FALSE	FALSE	1665
4500	100	FALSE	N0	0	0	FALSE	FALSE	1665
4500	100	FALSE	N1	1	1	FALSE	FALSE	1665
4500	100	FALSE	N2	2	2	FALSE	FALSE	1665
4500	100	FALSE	N3	3	3	FALSE	FALSE	1665
4500	100	FALSE	N4	4	4	FALSE	FALSE	1665
4500	100	FALSE	N5	5	5	FALSE	FALSE	1665
4500	100	FALSE	N6	6	6	FALSE	FALSE	1665
4500	100	FALSE	N7	7	7	FALSE	FALSE	1665
4500	100	FALSE	N8	8	8	FALSE	FALSE	1665
4500	100	FALSE	N9	9	9	FALSE	FALSE	1665
450	10	FALSE	O0	0	0	FALSE	FALSE	14985
450	10	FALSE	O1	1	1	FALSE	FALSE	14985
450	10	FALSE	O2	2	2	FALSE	FALSE	14985
450	10	FALSE	O3	3	3	FALSE	FALSE	14985
450	10	FALSE	O4	4	4	FALSE	FALSE	14985
450	10	FALSE	O5	5	5	FALSE	FALSE	14985
450	10	FALSE	O6	6	6	FALSE	FALSE	14985
450	10	FALSE	O7	7	7	FALSE	FALSE	14985
450	10	FALSE	O8	8	8	FALSE	FALSE	14985
450	10	FALSE	O9	9	9	FALSE	FALSE	14985
4500	100	FALSE	P0	0	0	FALSE	FALSE	14985
4500	100	FALSE	P1	1	1	FALSE	FALSE	14985
4500	100	FALSE	P2	2	2	FALSE	FALSE	14985
4500	100	FALSE	P3	3	3	FALSE	FALSE	14985
4500	100	FALSE	P4	4	4	FALSE	FALSE	14985
4500	100	FALSE	P5	5	5	FALSE	FALSE	14985
4500	100	FALSE	P6	6	6	FALSE	FALSE	14985
4500	100	FALSE	P7	7	7	FALSE	FALSE	14985
4500	100	FALSE	P8	8	8	FALSE	FALSE	14985
4500	100	FALSE	P9	9	9	FALSE	FALSE	14985
450	10	FALSE	Q0	0	0	FALSE	FALSE	185
450	10	FALSE	Q1	1	1	FALSE	FALSE	185
450	10	FALSE	Q2	2	2	FALSE	FALSE	185
450	10	FALSE	Q3	3	3	FALSE	FALSE	185
450	10	FALSE	Q4	4	4	FALSE	FALSE	185
450	10	FALSE	Q5	5	5	FALSE	FALSE	185
450	10	FALSE	Q6	6	6	FALSE	FALSE	185
450	10	FALSE	Q7	7	7	FALSE	FALSE	185
450	10	FALSE	Q8	8	8	FALSE	FALSE	185
450	10	FALSE	Q9	9	9	FALSE	FALSE	185
4500	100	FALSE	R0	0	0	FALSE	FALSE	185
4500	100	FALSE	R1	1	1	FALSE	FALSE	185
4500	100	FALSE	R2	2	2	FALSE	FALSE	185
4500	100	FALSE	R3	3	3	FALSE	FALSE	185
4500	100	FALSE	R4	4	4	FALSE	FALSE	185
4500	100	FALSE	R5	5	5	FALSE	FALSE	185
4500	100	FALSE	R6	6	6	FALSE	FALSE	185
4500	100	FALSE	R7	7	7	FALSE	FALSE	185
4500	100	FALSE	R8	8	8	FALSE	FALSE	185
4500	100	FALSE	R9	9	9	FALSE	FALSE	185
