taxid	D	P	C	O	F	G	S	5reads-tr_0	5reads-tr_1	5reads-tr_2	5reads-tr_3	5reads-tr_4	5reads-tr_5	5reads-tr_6	5reads-tr_7	5reads-tr_8	5reads-tr_9	10reads-tr_0	10reads-tr_1	10reads-tr_2	10reads-tr_3	10reads-tr_4	10reads-tr_5	10reads-tr_6	10reads-tr_7	10reads-tr_8	10reads-tr_9	100reads-tr_0	100reads-tr_1	100reads-tr_2	100reads-tr_3	100reads-tr_4	100reads-tr_5	100reads-tr_6	100reads-tr_7	100reads-tr_8	100reads-tr_9
1001533	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoxipapillomavirus	Dyoxipapillomavirus 1	5	0	5	10	5	5	10	5	10	15	10	0	10	20	10	10	20	10	20	30	100	0	100	200	100	100	200	100	200	300
1002273	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gyrovirus	Gyrovirus galga1	5	10	10	10	0	10	10	10	15	5	10	20	20	20	0	20	20	20	30	10	100	200	200	200	0	200	200	200	300	100
1002725	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Tequatrovirus	Tequatrovirus shfl2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100
1002918	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Sapelovirus	Sapelovirus B	0	5	10	5	20	10	5	5	5	10	0	10	20	10	40	20	10	10	10	20	0	100	200	100	400	200	100	100	100	200
1002921	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Sapelovirus	Sapelovirus A	15	5	5	0	10	0	5	5	10	5	30	10	10	0	20	0	10	10	20	10	300	100	100	0	200	0	100	100	200	100
1003177	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Vibrio phage qdvp001	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
1003335	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	10	10	0	5	15	5	5	10	0	0	20	20	0	10	30	10	10	20	0	0	200	200	0	100	300	100	100	200	0	0
1006061	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Avihepatovirus	Avihepatovirus A	5	5	5	0	0	5	5	10	0	0	10	10	10	0	0	10	10	20	0	0	100	100	100	0	0	100	100	200	0	0
1007869	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Rhodococcus phage E3	5	0	0	0	0	0	0	5	0	0	10	0	0	0	0	0	0	10	0	0	100	0	0	0	0	0	0	100	0	0
100884	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Coprobacillus	Coprobacillus cateniformis	0	5	10	0	0	0	10	0	0	5	0	10	20	0	0	0	20	0	0	10	0	100	200	0	0	0	200	0	0	100
100886	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	100	0	100
101096	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Gilbertella	Gilbertella persicaria	190	185	210	170	140	175	145	185	215	210	380	370	420	340	280	350	290	370	430	420	3800	3700	4200	3400	2800	3500	2900	3700	4300	4200
101098	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Gamsiella	Gamsiella multidivaricata	215	225	215	225	205	185	240	190	220	145	430	450	430	450	410	370	480	380	440	290	4300	4500	4300	4500	4100	3700	4800	3800	4400	2900
101107	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Halteromyces	Halteromyces radiatus	180	200	220	160	205	205	165	145	165	125	360	400	440	320	410	410	330	290	330	250	3600	4000	4400	3200	4100	4100	3300	2900	3300	2500
101570	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Enterobacteria phage ES18	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
102148	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	0	0	5	0	0	5	0	5	0	0	0	0	10	0	0	10	0	10	0	0	0	0	100	0	0	100	0	100	0
