taxid	D	P	C	O	F	G	S	50pctHuman_0	50pctHuman_1	50pctHuman_2	50pctHuman_3	50pctHuman_4	50pctHuman_5	50pctHuman_6	50pctHuman_7	50pctHuman_8	50pctHuman_9	90pctHuman_0	90pctHuman_1	90pctHuman_2	90pctHuman_3	90pctHuman_4	90pctHuman_5	90pctHuman_6	90pctHuman_7	90pctHuman_8	90pctHuman_9	10pctHuman_0	10pctHuman_1	10pctHuman_2	10pctHuman_3	10pctHuman_4	10pctHuman_5	10pctHuman_6	10pctHuman_7	10pctHuman_8	10pctHuman_9
1001533	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoxipapillomavirus	Dyoxipapillomavirus 1	0	100	0	0	100	100	0	100	0	0	0	100	0	0	100	100	0	100	0	0	0	100	0	0	100	100	0	100	0	0
1002273	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gyrovirus	Gyrovirus galga1	100	100	100	0	100	0	100	0	100	0	100	100	100	0	100	0	100	0	100	0	100	100	100	0	100	0	100	0	100	0
1002918	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Sapelovirus	Sapelovirus B	100	100	0	0	0	0	100	0	100	0	100	100	0	0	0	0	100	0	100	0	100	100	0	0	0	0	100	0	100	0
1002921	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Sapelovirus	Sapelovirus A	0	0	100	0	0	0	0	100	100	0	0	0	100	0	0	0	0	100	100	0	0	0	100	0	0	0	0	100	100	0
1003335	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1006061	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Avihepatovirus	Avihepatovirus A	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0
101096	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Gilbertella	Gilbertella persicaria	1000	900	900	800	1100	800	800	800	800	600	1000	900	900	800	1100	800	800	800	800	600	1000	900	900	800	1100	800	800	800	800	600
101098	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Gamsiella	Gamsiella multidivaricata	800	1000	900	800	400	1000	800	1000	1300	1200	800	1000	900	800	400	1000	800	1000	1300	1200	800	1000	900	800	400	1000	800	1000	1300	1200
101107	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Halteromyces	Halteromyces radiatus	500	700	500	800	800	700	700	400	600	700	500	700	500	800	800	700	700	400	600	700	500	700	500	800	800	700	700	400	600	700
102148	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1027253	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Siphunculivirus	Siphunculivirus SHP2	100	300	100	0	0	100	100	100	100	100	100	300	100	0	0	100	100	100	100	100	100	300	100	0	0	100	100	100	100	100
10298	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus humanalpha1	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0
