taxid	D	P	C	O	F	G	S	family0	family1	family2	family3	family4	family5	family6	family7	family8	D9
1001533	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoxipapillomavirus	Dyoxipapillomavirus 1	0	0	0	0	100	0	100	0	0	0
1002273	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gyrovirus	Gyrovirus galga1	100	0	100	0	0	0	0	0	0	0
1002725	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Tequatrovirus	Tequatrovirus shfl2	0	100	100	0	0	100	100	100	0	100
1002918	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Sapelovirus	Sapelovirus B	0	100	0	0	0	0	100	0	0	0
1003335	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces marxianus	100	100	100	100	100	100	100	100	100	100
100884	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Coprobacillus	Coprobacillus cateniformis	200	200	200	200	200	200	200	200	200	200
100886	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium mitsuokai	200	200	200	200	200	200	200	200	200	200
1010614	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Rountreeviridae	Rosenblumvirus	Rosenblumvirus S241	200	200	200	200	200	100	200	100	200	200
102148	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei	0	0	100	0	0	0	100	100	100	100
102684	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius	400	400	400	400	400	0	400	300	500	400
1027253	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Siphunculivirus	Siphunculivirus SHP2	0	0	0	100	0	0	0	100	100	100
10298	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus humanalpha1	100	100	0	100	100	100	100	0	100	100
1030843	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	800	0	0	0	0	0	0	0	0	0
1032362	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Leicestervirus	Leicestervirus CD382	0	0	0	0	0	0	0	0	100	0
10334	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus felidalpha1	0	0	0	0	0	0	0	100	100	100
103371	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Pootjesviridae	Innesvirus	Innesvirus RL2RES	200	300	300	200	200	300	300	200	200	200
1033731	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis	0	0	0	0	0	0	0	0	400	0
